games_idx,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V Runs Allowed,H Runs Allowed,Home Wins?,Prediction Correct?
5292,20120507,COL,NL,SDN,NL,2,3,pomed001,volqe001,True,-1,1,999.0,2.8,True,True
5293,20120508,TEX,AL,BAL,AL,10,3,felin001,arrij001,False,7,-7,999.0,4.6,True,False
5294,20120508,CHA,AL,CLE,AL,5,3,dankj001,mastj001,False,2,-2,4.6,6.4,False,True
5295,20120508,BOS,AL,KCA,AL,4,6,bardd001,duffd001,True,-2,2,999.0,5.2,True,True
5296,20120508,ANA,AL,MIN,AL,0,5,hared001,diams001,True,-5,5,4.6,999.0,False,False
5297,20120508,TBA,AL,NYA,AL,3,5,shiej002,novai001,True,-2,2,2.8,4.6,False,False
5298,20120508,TOR,AL,OAK,AL,3,7,romer002,parkj001,True,-4,4,4.6,999.0,False,False
5299,20120508,DET,AL,SEA,AL,6,4,verlj001,millk004,False,2,-2,3.0,6.4,False,True
5300,20120508,SLN,NL,ARI,NL,6,1,westj001,kenni001,False,5,-5,4.2,3.0,True,False
5301,20120508,ATL,NL,CHN,NL,3,1,delgr001,dempr002,False,2,-2,999.0,2.6,True,False
5302,20120508,MIA,NL,HOU,NL,2,3,sanca004,rodra002,True,-1,1,2.0,999.0,False,False
5303,20120508,SFN,NL,LAN,NL,2,1,voger001,kersc001,False,1,-1,5.2,2.0,True,False
5304,20120508,CIN,NL,MIL,NL,3,8,bailh001,gally001,True,-5,5,4.0,4.4,False,False
5305,20120508,NYN,NL,PHI,NL,7,4,batim001,blanj001,False,3,-3,999.0,3.6,True,False
5306,20120508,WAS,NL,PIT,NL,4,5,jacke001,burna001,True,-1,1,2.4,3.4,False,False
5307,20120508,COL,NL,SDN,NL,1,3,whita001,suppj001,True,-2,2,5.6,3.4,True,True
5308,20120509,CHA,AL,CLE,AL,8,1,peavj001,gomej002,False,7,-7,2.0,2.8,False,True
5309,20120509,BOS,AL,KCA,AL,3,4,lestj001,chenb001,True,-1,1,3.0,4.6,False,False
5310,20120509,ANA,AL,MIN,AL,6,2,sante001,pavac001,False,4,-4,4.8,4.4,True,False
5311,20120509,TBA,AL,NYA,AL,4,1,niemj001,pheld001,False,3,-3,5.2,999.0,False,True
5312,20120509,TOR,AL,OAK,AL,5,2,morrb001,rosst001,False,3,-3,1.6,4.6,False,True
5313,20120509,DET,AL,SEA,AL,1,2,smyld001,vargj001,True,-1,1,999.0,1.6,True,True
5314,20120509,SLN,NL,ARI,NL,7,2,lohsk001,milew001,False,5,-5,2.2,999.0,False,True
5315,20120509,ATL,NL,CHN,NL,0,1,hudst001,mahop002,True,-1,1,6.0,6.4,False,False
5316,20120509,MIA,NL,HOU,NL,5,3,johnj009,harrl002,False,2,-2,4.8,8.0,False,True
5317,20120509,SFN,NL,LAN,NL,2,6,linct001,billc001,True,-4,4,6.0,3.2,True,True
5318,20120509,CIN,NL,MIL,NL,2,1,cuetj001,greiz001,False,1,-1,4.0,2.8,True,False
